year,agency_prefix,stu_enroll,cte_enroll,county,district_code,sum_cluster_in_county,sum_cluster_in_state,unique_career_clusters_y,total_concentrators
2018,10,12133,7910,Alamance,10,105,7380,15,939
2018,20,2405,1998,Alexander,20,15,7380,15,331
2018,30,738,592,Alleghany,30,15,7380,15,121
2018,40,1720,1390,Anson,40,30,7380,15,81
2018,50,1378,929,Ashe,50,15,7380,15,125
2018,60,1066,865,Avery,60,45,7380,15,92
2018,70,3567,2723,Beaufort,70,75,7380,15,217
2018,80,1249,908,Bertie,80,30,7380,15,81
2018,90,2384,2113,Bladen,90,30,7380,15,394
2018,100,7141,4674,Brunswick,100,75,7380,15,506
2018,110,15163,9795,Buncombe,110,120,7380,15,1261
2018,120,6456,5211,Burke,120,90,7380,15,278
2018,130,20819,14203,Cabarrus,130,135,7380,15,1617
2018,140,6430,4565,Caldwell,140,60,7380,15,478
2018,150,865,577,Camden,150,30,7380,15,59
2018,160,4669,3267,Carteret,160,45,7380,15,239
2018,170,1364,1172,Caswell,170,15,7380,15,199
2018,180,11619,8710,Catawba,180,105,7380,15,808
2018,190,4865,3819,Chatham,190,60,7380,15,333
2018,200,1864,1214,Cherokee,200,75,7380,15,145
2018,210,1046,790,Chowan,210,15,7380,15,62
2018,220,700,445,Clay,220,15,7380,15,61
2018,230,7341,4804,Cleveland,230,90,7380,15,724
2018,240,4358,2725,Columbus,240,60,7380,15,230
2018,250,6974,4910,Craven,250,75,7380,15,411
2018,260,26395,20293,Cumberland,260,225,7380,15,1870
2018,270,2180,1516,Currituck,270,30,7380,15,175
2018,280,2761,1392,Dare,280,60,7380,15,58
2018,290,13772,9662,Davidson,290,120,7380,15,1443
2018,300,3372,2588,Davie,300,15,7380,15,219
2018,310,4957,4050,Duplin,310,75,7380,15,473
2018,320,17109,10111,Durham,320,150,7380,15,694
2018,330,3152,2175,Edgecombe,330,60,7380,15,347
2018,340,28661,18175,Forsyth,340,225,7380,15,899
2018,350,4555,3493,Franklin,350,45,7380,15,315
2018,360,16807,13051,Gaston,360,165,7380,15,1450
2018,370,883,716,Gates,370,15,7380,15,49
2018,380,561,412,Graham,380,15,7380,15,52
2018,390,4174,3270,Granville,390,90,7380,15,285
2018,400,1610,1136,Greene,400,15,7380,15,112
2018,410,38480,24511,Guilford,410,360,7380,15,1999
2018,420,3342,2586,Halifax,420,30,7380,15,242
2018,430,10667,6499,Harnett,430,75,7380,15,611
2018,440,3899,2675,Haywood,440,45,7380,15,507
2018,450,7183,4846,Henderson,450,75,7380,15,526
2018,460,1552,1281,Hertford,460,45,7380,15,162
2018,470,4329,2335,Hoke,470,15,7380,15,196
2018,480,285,224,Hyde,480,30,7380,15,12
2018,490,14693,10110,Iredell,490,120,7380,15,1087
2018,500,1974,1274,Jackson,500,60,7380,15,128
2018,510,19461,14232,Johnston,510,150,7380,15,1544
2018,520,490,424,Jones,520,15,7380,15,78
2018,530,5155,3752,Lee,530,60,7380,15,443
2018,540,4506,3274,Lenoir,540,60,7380,15,481
2018,550,6346,4256,Lincoln,550,60,7380,15,369
2018,560,1987,1472,Macon,560,60,7380,15,89
2018,570,1288,797,Madison,570,30,7380,15,132
2018,580,1509,1142,Martin,580,30,7380,15,195
2018,590,3243,2116,McDowell,590,45,7380,15,293
2018,600,75907,48831,Mecklenburg,600,510,7380,15,2260
2018,610,1049,704,Mitchell,610,30,7380,15,188
2018,620,2050,1503,Montgomery,620,45,7380,15,127
2018,630,6981,4361,Moore,630,60,7380,15,471
2018,640,8067,5728,Nash,640,90,7380,15,620
2018,650,13907,8535,New Hanover,650,90,7380,15,460
2018,660,809,467,Northampton,660,15,7380,15,41
2018,670,13170,9853,Onslow,670,105,7380,15,1440
2018,680,10923,6118,Orange,680,45,7380,15,417
2018,690,735,536,Pamlico,690,15,7380,15,82
2018,700,2772,2077,Pasquotank,700,30,7380,15,256
2018,710,5260,4025,Pender,710,60,7380,15,388
2018,720,831,626,Perquimans,720,15,7380,15,101
2018,730,2266,1645,Person,730,15,7380,15,228
2018,740,12693,7985,Pitt,740,90,7380,15,1239
2018,750,1185,1039,Polk,750,15,7380,15,139
2018,760,10992,8163,Randolph,760,105,7380,15,1114
2018,770,3903,3195,Richmond,770,45,7380,15,429
2018,780,11035,8047,Robeson,780,105,7380,15,1107
2018,790,6395,4913,Rockingham,790,75,7380,15,374
2018,800,10276,6625,Rowan,800,105,7380,15,692
2018,810,4385,3276,Rutherford,810,60,7380,15,433
2018,820,6040,4996,Sampson,820,75,7380,15,731
2018,830,2929,2125,Scotland,830,30,7380,15,193
2018,840,3810,2820,Stanly,840,90,7380,15,467
2018,850,3316,2377,Stokes,850,75,7380,15,298
2018,860,5831,4689,Surry,860,60,7380,15,693
2018,870,994,742,Swain,870,15,7380,15,91
2018,880,1940,1437,Transylvania,880,45,7380,15,258
2018,890,172,127,Tyrrell,890,15,7380,15,21
2018,900,24046,18238,Union,900,165,7380,15,1226
2018,910,2496,1782,Vance,910,45,7380,15,160
2018,920,86607,55954,Wake,920,255,7380,15,2725
2018,930,1084,791,,,,,,
2018,940,725,608,,,,,,
2018,950,2419,1770,,,,,,
2018,960,9816,6540,,,,,,
2018,970,5088,4190,,,,,,
2018,980,6226,5058,,,,,,
2018,990,348,63,,,,,,
2018,990,2453,1822,,,,,,
2018,995,1206,805,,,,,,
2019,10,12201,7822,Alamance,10,82,4331,14,1043
2019,20,2347,1861,Alexander,20,12,4331,12,260
2019,30,732,671,Alleghany,30,11,4331,11,159
2019,40,1668,1398,Anson,40,13,4331,12,185
2019,50,1401,1025,Ashe,50,11,4331,11,126
2019,60,1053,815,Avery,60,16,4331,9,86
2019,70,3549,2678,Beaufort,70,40,4331,13,266
2019,80,1159,901,Bertie,80,12,4331,11,90
2019,90,2381,2079,Bladen,90,23,4331,12,424
2019,100,7148,4769,Brunswick,100,34,4331,14,508
2019,110,15140,9810,Buncombe,110,83,4331,15,1281
2019,120,6485,5279,Burke,120,50,4331,12,375
2019,130,21242,14530,Cabarrus,130,93,4331,15,1860
2019,140,6343,4926,Caldwell,140,42,4331,14,471
2019,150,920,723,Camden,150,12,4331,10,76
2019,160,4580,3149,Carteret,160,27,4331,12,365
2019,170,1313,1058,Caswell,170,10,4331,10,163
2019,180,11385,8380,Catawba,180,46,4331,13,800
2019,190,4946,3665,Chatham,190,33,4331,12,350
2019,200,1765,1130,Cherokee,200,29,4331,11,174
2019,210,1047,771,Chowan,210,8,4331,8,134
2019,220,686,442,Clay,220,7,4331,7,90
2019,230,7226,4929,Cleveland,230,57,4331,14,848
2019,240,4296,2559,Columbus,240,18,4331,11,220
2019,250,6979,4662,Craven,250,41,4331,13,366
2019,260,26519,20786,Cumberland,260,140,4331,14,1996
2019,270,2264,1681,Currituck,270,14,4331,11,179
2019,280,2847,1425,Dare,280,22,4331,11,90
2019,290,13419,9399,Davidson,290,81,4331,14,1545
2019,300,3423,2569,Davie,300,14,4331,14,210
2019,310,4932,4034,Duplin,310,38,4331,11,644
2019,320,17051,10317,Durham,320,58,4331,15,719
2019,330,3124,2165,Edgecombe,330,29,4331,14,385
2019,340,29010,18635,Forsyth,340,131,4331,15,1154
2019,350,4658,3651,Franklin,350,29,4331,12,358
2019,360,16706,12863,Gaston,360,93,4331,15,1393
2019,370,858,688,Gates,370,6,4331,6,61
2019,380,547,409,Graham,380,8,4331,8,35
2019,390,4158,3101,Granville,390,32,4331,12,260
2019,400,1593,1123,Greene,400,13,4331,12,106
2019,410,38687,24626,Guilford,410,186,4331,14,1985
2019,420,3309,2515,Halifax,420,11,4331,13,293
2019,430,10765,6589,Harnett,430,49,4331,14,900
2019,440,3904,2623,Haywood,440,29,4331,11,493
2019,450,7174,5104,Henderson,450,56,4331,14,527
2019,460,1500,1278,Hertford,460,18,4331,10,164
2019,470,4449,2551,Hoke,470,12,4331,12,185
2019,480,292,209,Hyde,480,6,4331,5,14
2019,490,14571,9754,Iredell,490,76,4331,14,1095
2019,500,1959,1246,Jackson,500,23,4331,14,110
2019,510,19759,14597,Johnston,510,98,4331,15,1840
2019,520,446,394,Jones,520,8,4331,8,65
2019,530,5265,3881,Lee,530,35,4331,15,444
2019,540,4538,3256,Lenoir,540,33,4331,14,509
2019,550,6319,4240,Lincoln,550,50,4331,14,398
2019,560,2039,1500,Macon,560,24,4331,10,184
2019,570,1289,790,Madison,570,13,4331,9,130
2019,580,1475,1142,Martin,580,9,4331,9,165
2019,590,3160,2108,McDowell,590,20,4331,13,253
2019,600,77885,51912,Mecklenburg,600,228,4331,14,3561
2019,610,1029,825,Mitchell,610,14,4331,13,168
2019,620,2043,1504,Montgomery,620,25,4331,11,173
2019,630,7039,4384,Moore,630,33,4331,12,473
2019,640,8085,5588,Nash,640,48,4331,14,582
2019,650,13894,8604,New Hanover,650,52,4331,14,608
2019,660,841,463,Northampton,660,12,4331,11,58
2019,670,13330,9630,Onslow,670,58,4331,13,1562
2019,680,11030,6110,Orange,680,23,4331,14,457
2019,690,754,596,Pamlico,690,8,4331,10,76
2019,700,2733,1958,Pasquotank,700,19,4331,12,248
2019,710,5271,3941,Pender,710,29,4331,13,485
2019,720,870,696,Perquimans,720,10,4331,10,72
2019,730,2248,1601,Person,730,14,4331,14,298
2019,740,12641,7909,Pitt,740,63,4331,13,1219
2019,750,1200,1021,Polk,750,9,4331,8,135
2019,760,10860,8011,Randolph,760,62,4331,15,1111
2019,770,3579,2794,Richmond,770,24,4331,15,411
2019,780,11137,7895,Robeson,780,65,4331,14,1122
2019,790,6427,4845,Rockingham,790,39,4331,14,431
2019,800,10234,6850,Rowan,800,58,4331,15,676
2019,810,4358,3335,Rutherford,810,43,4331,12,461
2019,820,5881,4784,Sampson,820,37,4331,13,874
2019,830,2868,2078,Scotland,830,17,4331,12,179
2019,840,3495,2611,Stanly,840,50,4331,13,521
2019,850,3288,2331,Stokes,850,33,4331,12,281
2019,860,5892,4903,Surry,860,42,4331,14,646
2019,870,987,695,Swain,870,10,4331,10,112
2019,880,1941,1471,Transylvania,880,32,4331,12,297
2019,890,193,142,Tyrrell,890,6,4331,6,25
2019,900,24127,17638,Union,900,108,4331,14,1377
2019,910,2308,1751,Vance,910,15,4331,10,134
2019,920,88029,57045,Wake,920,278,4331,15,5037
2019,930,1047,799,Warren,930,11,4331,10,113
2019,940,643,535,Washington,940,6,4331,7,97
2019,950,2498,1860,Watauga,950,23,4331,12,158
2019,960,9694,6399,Wayne,960,65,4331,13,751
2019,970,4915,3938,Wilkes,970,53,4331,14,525
2019,980,6139,4738,Wilson,980,29,4331,13,451
2019,990,2430,1866,Yadkin,990,23,4331,13,487
2019,995,1192,823,Yancey,995,13,4331,13,182
2020,10,12365,8053,Alamance,10,79,5280,12,6171
2020,20,2569,1965,Alexander,20,18,5280,9,1342
2020,30,1358,694,Alleghany,30,16,5280,8,502
2020,40,1640,736,Anson,40,19,5280,9,452
2020,50,1387,1044,Ashe,50,22,5280,10,646
2020,60,1027,844,Avery,60,17,5280,8,430
2020,70,4267,2547,Beaufort,70,42,5280,12,806
2020,80,1089,867,Bertie,80,21,5280,9,314
2020,90,2631,2101,Bladen,90,29,5280,10,1480
2020,100,7343,4773,Brunswick,100,36,5280,10,1686
2020,110,16274,9547,Buncombe,110,79,5280,15,5870
2020,120,6568,4220,Burke,120,62,5280,13,1649
2020,130,21760,14883,Cabarrus,130,108,5280,15,10055
2020,140,6926,4800,Caldwell,140,51,5280,13,2484
2020,150,912,483,Camden,150,17,5280,8,368
2020,160,4570,3066,Carteret,160,31,5280,9,1307
2020,170,1243,1071,Caswell,170,14,5280,7,610
2020,180,11185,6484,Catawba,180,56,5280,13,3855
2020,190,5919,3219,Chatham,190,46,5280,13,2418
2020,200,2216,1378,Cherokee,200,34,5280,10,513
2020,210,1020,718,Chowan,210,12,5280,6,554
2020,220,799,481,Clay,220,10,5280,5,292
2020,230,7040,4901,Cleveland,230,61,5280,14,3680
2020,240,4956,2568,Columbus,240,33,5280,14,1863
2020,250,6919,4898,Craven,250,51,5280,14,2516
2020,260,26077,16585,Cumberland,260,144,5280,15,8199
2020,270,2210,1754,Currituck,270,23,5280,11,846
2020,280,2976,1558,Dare,280,29,5280,8,684
2020,290,13095,9322,Davidson,290,87,5280,14,5400
2020,300,3332,2143,Davie,300,18,5280,9,1446
2020,310,9612,4165,Duplin,310,38,5280,9,2050
2020,320,17487,10539,Durham,320,78,5280,14,3091
2020,330,3415,1747,Edgecombe,330,27,5280,10,1036
2020,340,29288,17689,Forsyth,340,126,5280,13,6776
2020,350,4624,3670,Franklin,350,36,5280,12,1722
2020,360,16691,10133,Gaston,360,95,5280,15,4035
2020,370,846,323,Gates,370,14,5280,7,360
2020,380,533,243,Graham,380,16,5280,8,118
2020,390,4077,3009,Granville,390,41,5280,11,1449
2020,400,1582,1154,Greene,400,21,5280,10,564
2020,410,39365,24078,Guilford,410,201,5280,15,9129
2020,420,3151,2484,Halifax,420,16,5280,10,1100
2020,430,10603,6657,Harnett,430,70,5280,14,4568
2020,440,3797,2608,Haywood,440,39,5280,11,2380
2020,450,7357,5305,Henderson,450,62,5280,13,2164
2020,460,1457,1146,Hertford,460,24,5280,9,632
2020,470,4383,2646,Hoke,470,26,5280,12,1088
2020,480,338,220,Hyde,480,8,5280,4,102
2020,490,14709,9008,Iredell,490,91,5280,13,6104
2020,500,3413,1375,Jackson,500,40,5280,13,760
2020,510,20699,14244,Johnston,510,91,5280,15,9356
2020,520,459,418,Jones,520,18,5280,9,252
2020,530,5206,3954,Lee,530,48,5280,14,2226
2020,540,5013,3151,Lenoir,540,46,5280,12,1452
2020,550,6240,4184,Lincoln,550,53,5280,11,2324
2020,560,2879,1700,Macon,560,30,5280,9,702
2020,570,1231,817,Madison,570,29,5280,10,654
2020,580,1354,1108,Martin,580,14,5280,6,689
2020,590,3207,2090,McDowell,590,34,5280,12,1630
2020,600,84092,51388,Mecklenburg,600,256,5280,15,15576
2020,610,1095,865,Mitchell,610,22,5280,12,765
2020,620,1973,1099,Montgomery,620,35,5280,9,498
2020,630,7429,4444,Moore,630,49,5280,15,3814
2020,640,8076,5526,Nash,640,53,5280,12,2440
2020,650,14279,8663,New Hanover,650,61,5280,13,3710
2020,660,846,562,Northampton,660,18,5280,9,206
2020,670,13445,9855,Onslow,670,76,5280,11,6632
2020,680,11045,6169,Orange,680,35,5280,14,2457
2020,690,728,574,Pamlico,690,20,5280,10,395
2020,700,3119,1836,Pasquotank,700,30,5280,11,897
2020,710,5658,4076,Pender,710,41,5280,13,2150
2020,720,866,671,Perquimans,720,18,5280,9,264
2020,730,2145,1654,Person,730,34,5280,14,995
2020,740,13972,7996,Pitt,740,76,5280,13,6598
2020,750,1168,549,Polk,750,18,5280,9,938
2020,760,11198,8011,Randolph,760,66,5280,15,6044
2020,770,3799,3049,Richmond,770,35,5280,14,1160
